text	created_at	public_metrics	Google_Translation	village	region	district
Barakacayaasha Kaamka Badbaado oo ka hadlay xaaladaha ka jira Kaamka https://t.co/DP5pIYkafD via @Radio Waamo	2022-04-05T19:55:32.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Badbaado Camp IDPs discuss situation in Camp https://t.co/DP5pIYkafD via @Radio Waamo	['Waamo']	['Lower Juba']	['Jamaame']
"@SolidMali @SuldanMohamed_ @Garjan_ @TheVillaSomalia ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T17:30:56.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@SolidMali @SuldanMohamed_ @Garjan_ @TheVillaSomalia is not dead yet. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
"@SolidMali @SuldanMohamed_ @Garjan_ @TheVillaSomalia ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T15:52:55.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	@SolidMali @SuldanMohamed_ @Garjan_ @TheVillaSomalia is not dead yet. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
"@SuldanMohamed_ ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T13:42:01.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@SuldanMohamed_ don&#39;t die more. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
DHAGEYSO:Qaxooti dhawaan ka yimid Soomaaliya oo ku dhibaateysan Dadaab https://t.co/KcNWPFh2Yi #RamadanMubarak https://t.co/0IrHK5hUup	2022-04-05T11:45:06.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	LISTEN: Newly arrived refugees from Somalia in Dadaab https://t.co/KcNWPFh2Yi #RamadanMubarak https://t.co/0IrHK5hUup	[]	[]	[]
"Ardayda Jaamacadda Ummadda Soomaaliyeed ayaa deeq raashin ah oo #Afur ah gaarsiisay qoysas danyar ah oo ku nool xeryaha barakacayaasha ee magaalada Muqdisho. 
#Gacmowadajira 
#caawiwalaal
#midnimo
#Somalia https://t.co/U2qkAXAeZE"	2022-04-05T11:28:02.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Somali National University students donate #Afur food to needy families living in IDP camps in Mogadishu. . #Gacmowadajira. #caawiwalaal. #midnimo. #Somalia https://t.co/U2qkAXAeZE	['Mogadishu']	['Banadir']	['Banadir']
@SG08__ real qaxooti heritage 😭😭😭	2022-04-05T10:54:44.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}	@ SG08__ real refugee heritage 😭😭😭	[]	[]	[]
"@AbdiwahabMoumin @M_Farmaajo @Mustafe_M_Omer ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T10:26:48.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@AbdiwahabMoumin @M_Farmaajo @Mustafe_M_Omer is not dead. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
"@HodoMure @SolidMali ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T10:22:53.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@HodoMure @SolidMali don&#39;t die more. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
"@SolidMali ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T10:22:29.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@SolidMali don&#39;t die for more. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
"@asmU11 @SolidMali @SaadickH ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	2022-04-05T10:22:19.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ asmU11 @SolidMali @SaadickH don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	[]	[]	[]
